file,session_started,n_calls,n_success,n_failed,models,lat_ms_p50,lat_ms_mean,lat_ms_max,sum_llm_s,wall_span_s,llm_share
llm-communication-20251121-165056.log,2025-11-21T16:50:56.461000,48,48,0,"{""local|qwen3-coder:30b"": 48}",9417.5,10772.8,41739,517.1,580.8,0.89
llm-communication-20251121-170628.log,2025-11-21T17:06:28.167000,47,47,0,"{""local|qwen3-coder:30b"": 47}",8836,10418.1,34082,489.6,560.1,0.874
llm-communication-20251121-171929.log,2025-11-21T17:19:29.522000,46,46,0,"{""local|qwen3-coder:30b"": 46}",8154.5,9790.2,24437,450.3,504.8,0.892
llm-communication-20251121-173114.log,2025-11-21T17:31:14.277000,48,48,0,"{""local|qwen3-coder:30b"": 48}",8211.5,9274.1,20114,445.2,499.6,0.891
llm-communication-20251121-174345.log,2025-11-21T17:43:45.576000,46,46,0,"{""local|qwen3-coder:30b"": 46}",8778.0,10283.9,19008,473.1,527.6,0.897
llm-communication-20251121-175844.log,2025-11-21T17:58:44.795000,593,593,0,"{""local|qwen3-coder:30b"": 593}",6665,8980.4,86040,5325.4,6047.0,0.881
llm-communication-20251125-225351.log,2025-11-25T22:53:51.792000,266,265,0,"{""local|qwen3-coder:30b"": 266}",5581,6508.5,46331,1724.7,1726.1,0.999
llm-communication-20251125-235821.log,2025-11-25T23:58:21.614000,452,452,0,"{""local|qwen3-coder:30b"": 452}",5726.5,7533.1,96866,3405.0,3406.7,1.0
llm-communication-20251202-133438.log,2025-12-02T13:34:38.282000,62,62,0,"{""local|qwen3-coder:30b"": 62}",8263.0,10383.4,94633,643.8,916.5,0.702
llm-communication-20251202-142303.log,2025-12-02T14:23:03.336000,70,69,0,"{""local|qwen3-coder:30b"": 70}",5520,7039.7,109541,485.7,485.8,1.0
llm-communication-20251202-145751.log,2025-12-02T14:57:51.931000,0,0,0,{},,,,0.0,,
llm-communication-20251202-145848.log,2025-12-02T14:58:48.544000,174,174,0,"{""local|qwen3-coder:30b"": 174}",5675.5,7777.6,154927,1353.3,1639.6,0.825
llm-communication-20251202-155451.log,2025-12-02T15:54:51.037000,39,39,0,"{""local|qwen3-coder:30b"": 39}",8413,10112.2,40666,394.4,394.9,0.999
llm-communication-20251202-161011.log,2025-12-02T16:10:11.430000,174,174,0,"{""local|qwen3-coder:30b"": 174}",5616.5,7480.5,89262,1301.6,1585.2,0.821
llm-communication-20251202-164252.log,2025-12-02T16:42:52.762000,19,18,0,"{""local|qwen3-coder:30b"": 19}",5363.0,9420.1,78193,169.6,169.6,1.0
llm-communication-20251202-164944.log,2025-12-02T16:49:44.496000,17,16,0,"{""local|qwen3-coder:30b"": 17}",9537.0,11391.4,21290,182.3,182.6,0.998
llm-communication-20251202-165345.log,2025-12-02T16:53:45.358000,58,58,0,"{""local|qwen3-coder:30b"": 58}",9475.0,10617.9,27464,615.8,871.4,0.707
llm-communication-20251202-172038.log,2025-12-02T17:20:38.098000,171,171,0,"{""local|qwen3-coder:30b"": 171}",5571,7574.2,104664,1295.2,1656.0,0.782
llm-communication-20251202-175126.log,2025-12-02T17:51:26.522000,227,227,0,"{""local|qwen3-coder:30b"": 227}",8200,9655.0,33134,2191.7,2192.8,1.0
llm-communication-20251203-134350.log,2025-12-03T13:43:50.229000,503,503,0,"{""local|qwen3-coder:30b"": 503}",5996,7487.1,123659,3766.0,3767.4,1.0
llm-communication-20251209-144012.log,2025-12-09T14:40:12.986000,49,49,0,"{""local|qwen3-coder:30b"": 49}",8748,12133.8,107853,594.6,697.3,0.853
llm-communication-20251209-145535.log,2025-12-09T14:55:35.900000,62,62,0,"{""local|qwen3-coder:30b"": 62}",10193.0,11650.4,41682,722.3,822.5,0.878
llm-communication-20251209-151412.log,2025-12-09T15:14:12.763000,57,57,0,"{""local|qwen3-coder:30b"": 57}",11198,12098.2,29633,689.6,808.5,0.853
llm-communication-20251209-153557.log,2025-12-09T15:35:57.316000,48,48,0,"{""local|qwen3-coder:30b"": 48}",10166.0,12453.8,77173,597.8,656.0,0.911
llm-communication-20251209-161205.log,2025-12-09T16:12:05.863000,1,0,0,"{""local|qwen3-coder:30b"": 1}",,,,0.0,,
llm-communication-20251209-161735.log,2025-12-09T16:17:35.988000,163,163,0,"{""local|qwen3-coder:30b"": 163}",5579,7755.6,52166,1264.2,1328.7,0.951
llm-communication-20251209-164938.log,2025-12-09T16:49:38.583000,51,51,0,"{""local|qwen3-coder:30b"": 51}",9661,12941.0,80482,660.0,716.3,0.921
llm-communication-20251209-175944.log,2025-12-09T17:59:44.225000,90,90,0,"{""local|qwen3-coder:30b"": 90}",9810.5,11322.7,120084,1019.0,1475.7,0.691
